PlayerName,CardTypeID,Position,Age,Rating,Team,League,Height,Weight,Crossing,Finishing,Heading,Jumping,Penalties,WeakFoot,SkillMoves,Passing,Defending,Attacking,Country,URL,Gender
Diego Calai,8,GK,20,84,Sporting CP,,190,,27,21,27,82,28,4,1,83,36,38,Brazil,sofifa.com/player/270865/diego-calai-silva/260004/,Male
J. Acheampong,8,RB CB CDM RM,19,85,Chelsea,,190,85,83,59,83,88,61,3,2,84,83,73,England,sofifa.com/player/71651/josh-acheampong/260004/,Male
Pau Navarro,8,CB RB CM,20,84,Villarreal CF,,185,72,58,48,88,85,58,3,2,72,85,67,Spain,sofifa.com/player/278659/pau-navarro-badenes/260004/,Male
P. Comuzzo,8,CB,20,84,Fiorentina,,183,75,62,46,85,84,34,2,2,73,84,58,Italy,sofifa.com/player/278340/pietro-comuzzo/260004/,Male
V. Barco,8,LB LM CM,20,86,RC Strasbourg Alsace,,170,66,87,53,78,83,81,3,3,86,85,81,Argentina,sofifa.com/player/263370/valentin-barco/260004/,Male
Mendy,8,CM CDM,18,84,Olympique Lyonnais,,,60,60,78,71,84,82,,,88,82,79,France,,
R. Jackson,8,CM CDM,19,84,North Carolina Courage,,172,57,83,78,76,77,81,3,2,86,83,78,United States,sofifa.com/player/277633/riley-jackson/260006/,Female
L. Karl,8,CAM RM CM,17,86,FC Bayern München,,168,67,85,86,70,65,85,3,4,86,57,85,Germany,sofifa.com/player/78063/lennart-karl/260004/,Male
B. Durdov,8,RW RM,17,84,Hajduk Split,,175,65,85,83,61,73,82,4,3,82,54,84,Croatia,sofifa.com/player/74626/bruno-durdov/260004/,Male
B. van Egmond,8,ST RW RM,18,84,AFC Ajax,,175,62,81,85,79,87,76,3,3,77,47,84,Netherlands,sofifa.com/player/76331/bo-van-egmond/260006/,Female
João Costa,8,RM LM LB RB,20,85,Al Ettifaq,,178,69,86,78,77,83,84,3,3,84,75,82,Brazil,sofifa.com/player/278567/joao-gabriel-e-costa-cesco/260004/,Male
J. Mokio,8,CDM CM LB CB,17,81,Ajax,,182,72,69,68,79,83,50,3,2,82,81,69,Belgium,sofifa.com/player/71351/jorthy-mokio/260004/,Male
M. Carrizo,8,RM CAM ST RW,19,81,Vélez Sarsfield,,180,67,82,80,77,88,76,3,3,77,38,82,Argentina,sofifa.com/player/279841/maher-carrizo/260004/,Male
Sara Ortega,8,LM CM RM LB,20,81,Athletic Club,,154,48,81,81,59,77,63,3,3,81,80,77,Spanish,sofifa.com/player/272137/sara-ortega-ruiz/260006/,Female
Camarda,8,ST,17,81,Lecce,,184,75,54,82,80,81,87,3,3,65,38,79,Italy,sofifa.com/player/279202/francesco-camarda/260004/,Male
C. Talbi,8,RM LM RW,20,81,Sunderland,,175,64,82,80,44,75,76,4,3,76,55,81,Morocco,sofifa.com/player/275048/chemsdine-talbi/260004/,Male
D. Seimen,8,GK,19,81,SC Paderborn 07,,190,89,25,24,28,81,33,4,1,80,55,44,Germany,sofifa.com/player/271114/dennis-seimen/260004/,Male
W. Mikelbrencis,8,RB RM,21,81,Hamburger SV,,176,64,82,44,77,80,58,2,2,79,81,67,France,sofifa.com/player/262045/william-mikelbrencis/260004/,Male
A. Sentnor,8,CAM ST CM,21,81,Kansas City Current,,162,57,80,82,75,78,74,4,3,81,68,80,American,sofifa.com/player/71527/ally-sentnor/260006/,Female
K. Asllani,7,CDM CM CAM,23,84,Torino,,179,70,73,65,77,78,62,3,3,86,82,77,al,sofifa.com/player/264699/kristjan-asllani/260004/,Male
J. Ryerson,7,RB LB RM CM,27,85,Borussia Dortmund,,183,82,88,65,69,79,47,4,2,80,86,79,no,sofifa.com/player/229891/julian-ryerson/260004/,Male
C. Mbemba,7,CB CDM,30,85,Lille OSC,,182,81,70,65,91,96,45,4,2,79,89,72,cd,sofifa.com/player/210897/chancel-mbemba/260004/,Male
Oyarzabal,7,ST LM LW CAM,28,86,Real Sociedad,,181,78,88,90,75,77,91,4,4,88,46,86,es,sofifa.com/player/230142/mikel-oyarzabal-ugarte/260004/,Male
