ID,Team Name,League
1,FC Barcelona,Liga F
2,Arsenal,Women's Super League
3,Chelsea,Women's Super League
4,OL Lyonnes,Division 1 Féminine
5,Bayern München,Frauen-Bundesliga
6,Real Madrid,Liga F
7,Manchester United,Women's Super League
8,Manchester City,Women's Super League
9,Paris Saint-Germain,Division 1 Féminine
10,Wolfsburg,Frauen-Bundesliga
11,London City Lionesses,Women's Super League
12,Washington Spirit,National Women's Soccer League
13,Kansas City Current,National Women's Soccer League
14,Eintracht Frankfurt,Frauen-Bundesliga
15,Juventus,Serie A Femminile
16,Orlando Pride,National Women's Soccer League
17,Gotham FC,National Women's Soccer League
18,Atlético de Madrid,Liga F
19,Aston Villa,Women's Super League
20,Roma,Serie A Femminile
21,Paris FC,Division 1 Féminine
22,Portland Thorns FC,National Women's Soccer League
23,Houston Dash,National Women's Soccer League
24,San Diego Wave FC,National Women's Soccer League
25,Tottenham Hotspur,Women's Super League
26,Brighton & Hove Albion,Women's Super League
27,FC Fleury 91,Division 1 Féminine
28,Seattle Reign FC,National Women's Soccer League
29,Angel City FC,National Women's Soccer League
30,Real Sociedad,Liga F
31,Bayer 04 Leverkusen,Frauen-Bundesliga
32,West Ham United,Women's Super League
33,Everton,Women's Super League
34,North Carolina Courage,National Women's Soccer League
35,Chicago Red Stars,National Women's Soccer League
36,Racing Louisville,National Women's Soccer League
37,Athletic Club,Liga F
38,Utah Royals,National Women's Soccer League
39,SL Benfica,Campeonato Nacional Feminino
40,SC Freiburg,Frauen-Bundesliga
41,1. FC Köln,Frauen-Bundesliga
42,FC Badalona Women,Liga F
43,RB Leipzig,Frauen-Bundesliga
44,Liverpool,Women's Super League
45,Bay FC,National Women's Soccer League
46,TSG 1899 Hoffenheim,Frauen-Bundesliga
47,SGS Essen,Frauen-Bundesliga
48,Werder Bremen,Frauen-Bundesliga
49,Leicester City,Women's Super League
50,CD Tenerife Femenino,Liga F
51,Sevilla,Liga F
52,1. FC Union Berlin,Frauen-Bundesliga
53,Madrid CFF,Liga F
54,Le Havre AC,Division 1 Féminine
55,FC Nantes,Division 1 Féminine
56,Olympique de Marseille,Division 1 Féminine
57,Montpellier HSC,Division 1 Féminine
58,Dijon FCO,Division 1 Féminine
59,Levante UD,Liga F
60,Deportivo de La Coruña,Liga F
61,RC Strasbourg Alsace,Division 1 Féminine
62,RCD Espanyol,Liga F
63,AFC Ajax,Vrouwen Eredivisie
64,SK Slavia Praha,I. liga žen
65,FC Rosengård,Damallsvenskan
66,Glasgow City,Women's Premier League
67,1. FC Nürnberg,Frauen-Bundesliga
68,Granada CF,Liga F
69,AS Saint-Étienne,Division 1 Féminine
70,Hamburger SV,Frauen-Bundesliga
71,FC Carl Zeiss Jena,Frauen-Bundesliga
72,RC Lens,Division 1 Féminine
73,SD Eibar,Liga F
74,DUX Logroño,Liga F
75,Zurich,Women's Super League
76,Alhama CF,Liga F
